ოლქი - სუბიექტი,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41
1. მთაწმინდა,"222
(0.56%)","51
(0.13%)","13229
(33.44%)","16
(0.04%)","413
(1.04%)","3
(0.01%)","22
(0.06%)","87
(0.22%)","253
(0.64%)","14
(0.04%)","40
(0.1%)","14
(0.04%)","29
(0.07%)","381
(0.96%)","40
(0.1%)","24749
(62.56%)"
2. ვაკე,"380
(0.54%)","92
(0.13%)","16728
(23.62%)","44
(0.06%)","939
(1.33%)","10
(0.01%)","43
(0.06%)","155
(0.22%)","639
(0.9%)","26
(0.04%)","59
(0.08%)","22
(0.03%)","35
(0.05%)","724
(1.02%)","82
(0.12%)","50829
(71.79%)"
3. საბურთალო,"358
(0.4%)","123
(0.14%)","22539
(25.06%)","56
(0.06%)","1047
(1.16%)","7
(0.01%)","51
(0.06%)","458
(0.51%)","516
(0.57%)","29
(0.03%)","97
(0.11%)","15
(0.02%)","40
(0.04%)","980
(1.09%)","96
(0.11%)","63516
(70.63%)"
4. კრწანისი,"82
(0.31%)","27
(0.1%)","9991
(37.67%)","64
(0.24%)","344
(1.3%)","3
(0.01%)","13
(0.05%)","39
(0.15%)","94
(0.35%)","8
(0.03%)","18
(0.07%)","15
(0.06%)","2
(0.01%)","302
(1.14%)","20
(0.08%)","15503
(58.45%)"
5. ისანი,"164
(0.26%)","56
(0.09%)","19778
(31.06%)","92
(0.14%)","1052
(1.65%)","10
(0.02%)","21
(0.03%)","83
(0.13%)","213
(0.33%)","16
(0.03%)","39
(0.06%)","23
(0.04%)","30
(0.05%)","910
(1.43%)","65
(0.1%)","41125
(64.58%)"
6. სამგორი,"196
(0.23%)","60
(0.07%)","26497
(30.61%)","114
(0.13%)","1916
(2.21%)","24
(0.03%)","38
(0.04%)","107
(0.12%)","241
(0.28%)","25
(0.03%)","55
(0.06%)","24
(0.03%)","37
(0.04%)","1330
(1.54%)","57
(0.07%)","55845
(64.51%)"
7. ჩუღურეთი,"149
(0.41%)","70
(0.19%)","9882
(27.07%)","37
(0.1%)","526
(1.44%)","7
(0.02%)","30
(0.08%)","72
(0.2%)","159
(0.44%)","7
(0.02%)","30
(0.08%)","19
(0.05%)","22
(0.06%)","513
(1.41%)","26
(0.07%)","24956
(68.36%)"
8. დიდუბე,"265
(0.54%)","61
(0.12%)","12282
(25.16%)","13
(0.03%)","641
(1.31%)","7
(0.01%)","28
(0.06%)","100
(0.2%)","239
(0.49%)","32
(0.07%)","38
(0.08%)","21
(0.04%)","40
(0.08%)","645
(1.32%)","38
(0.08%)","34359
(70.39%)"
9. ნაძალადევი,"309
(0.36%)","83
(0.1%)","19437
(22.84%)","97
(0.11%)","1449
(1.7%)","16
(0.02%)","42
(0.05%)","154
(0.18%)","273
(0.32%)","14
(0.02%)","66
(0.08%)","21
(0.02%)","22
(0.03%)","1272
(1.49%)","70
(0.08%)","61794
(72.6%)"
10. გლდანი,"232
(0.27%)","62
(0.07%)","22131
(25.4%)","89
(0.1%)","1539
(1.77%)","20
(0.02%)","51
(0.06%)","140
(0.16%)","267
(0.31%)","22
(0.03%)","48
(0.06%)","15
(0.02%)","29
(0.03%)","1384
(1.59%)","64
(0.07%)","61024
(70.05%)"
11. საგარეჯო,"57
(0.24%)","24
(0.1%)","9441
(39.43%)","40
(0.17%)","341
(1.42%)","7
(0.03%)","7
(0.03%)","12
(0.05%)","91
(0.38%)","5
(0.02%)","2
(0.01%)","4
(0.02%)","8
(0.03%)","214
(0.89%)","9
(0.04%)","13683
(57.14%)"
12. გურჯაანი,"55
(0.15%)","40
(0.11%)","17944
(49.33%)","68
(0.19%)","953
(2.62%)","12
(0.03%)","10
(0.03%)","10
(0.03%)","124
(0.34%)","5
(0.01%)","7
(0.02%)","8
(0.02%)","13
(0.04%)","727
(2%)","18
(0.05%)","16378
(45.03%)"
13. სიღნაღი,"26
(0.12%)","21
(0.1%)","9776
(46.69%)","34
(0.16%)","362
(1.73%)","9
(0.04%)","5
(0.02%)","3
(0.01%)","101
(0.48%)","5
(0.02%)","4
(0.02%)","3
(0.01%)","2
(0.01%)","295
(1.41%)","18
(0.09%)","10275
(49.07%)"
14. დედოფლისწყარო,"28
(0.2%)","13
(0.09%)","6565
(47.2%)","15
(0.11%)","237
(1.7%)","1
(0.01%)","3
(0.02%)","7
(0.05%)","35
(0.25%)","1
(0.01%)","3
(0.02%)","4
(0.03%)","4
(0.03%)","145
(1.04%)","8
(0.06%)","6840
(49.18%)"
15. ლაგოდეხი,"23
(0.1%)","37
(0.16%)","12969
(56.14%)","62
(0.27%)","575
(2.49%)","10
(0.04%)","4
(0.02%)","3
(0.01%)","111
(0.48%)","7
(0.03%)","3
(0.01%)","4
(0.02%)","4
(0.02%)","258
(1.12%)","10
(0.04%)","9020
(39.05%)"
16. ყვარელი,"44
(0.22%)","28
(0.14%)","9787
(49.39%)","39
(0.2%)","464
(2.34%)","6
(0.03%)","2
(0.01%)","6
(0.03%)","120
(0.61%)","7
(0.04%)","3
(0.02%)","3
(0.02%)","2
(0.01%)","193
(0.97%)","11
(0.06%)","9099
(45.92%)"
17. თელავი,"62
(0.18%)","50
(0.15%)","15304
(44.41%)","51
(0.15%)","1133
(3.29%)","11
(0.03%)","24
(0.07%)","25
(0.07%)","172
(0.5%)","9
(0.03%)","9
(0.03%)","10
(0.03%)","6
(0.02%)","530
(1.54%)","52
(0.15%)","17012
(49.37%)"
18. ახმეტა,"30
(0.17%)","28
(0.16%)","7877
(43.86%)","22
(0.12%)","381
(2.12%)","5
(0.03%)","6
(0.03%)","5
(0.03%)","48
(0.27%)","2
(0.01%)","4
(0.02%)","4
(0.02%)","4
(0.02%)","275
(1.53%)","9
(0.05%)","9260
(51.56%)"
19. თიანეთი,"11
(0.15%)","8
(0.11%)","2852
(38.7%)","5
(0.07%)","50
(0.68%)","1
(0.01%)","2
(0.03%)","8
(0.11%)","5
(0.07%)","2
(0.03%)","3
(0.04%)","1
(0.01%)","3
(0.04%)","92
(1.25%)","11
(0.15%)","4316
(58.56%)"
20. რუსთავი,"176
(0.27%)","113
(0.17%)","24877
(38.43%)","97
(0.15%)","1485
(2.29%)","9
(0.01%)","40
(0.06%)","62
(0.1%)","214
(0.33%)","14
(0.02%)","42
(0.06%)","19
(0.03%)","13
(0.02%)","1060
(1.64%)","40
(0.06%)","36474
(56.34%)"
