ოლქი - სუბიექტი,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,22,23,25,26,27,28,30,41
საზღვარგარეთი,"90
(1.91%)","9
(0.19%)","60
(1.27%)","6
(0.12%)","1589
(33.8%)","177
(3.76%)","35
(0.74%)","88
(1.87%)","176
(3.74%)","3
(0.06%)","2
(0.04%)","25
(0.53%)","0
(0%)","2
(0.04%)","9
(0.19%)","35
(0.74%)","8
(0.17%)","7
(0.14%)","4
(0.08%)","2
(0.04%)","10
(0.21%)","490
(10.42%)","8
(0.17%)","4
(0.08%)","1862
(39.6%)"
#1 მაჟ. ოლქი,"543
(2.27%)","23
(0.09%)","894
(3.73%)","30
(0.12%)","5591
(23.38%)","830
(3.47%)","43
(0.17%)","1310
(5.47%)","490
(2.04%)","17
(0.07%)","32
(0.13%)","227
(0.94%)","8
(0.03%)","14
(0.05%)","26
(0.1%)","82
(0.34%)","169
(0.7%)","31
(0.12%)","30
(0.12%)","11
(0.04%)","163
(0.68%)","1741
(7.28%)","32
(0.13%)","23
(0.09%)","11547
(48.29%)"
#2 მაჟ. ოლქი,"476
(1.89%)","13
(0.05%)","782
(3.11%)","46
(0.18%)","4508
(17.95%)","1072
(4.26%)","55
(0.21%)","1270
(5.05%)","403
(1.6%)","9
(0.03%)","25
(0.09%)","75
(0.29%)","7
(0.02%)","8
(0.03%)","14
(0.05%)","46
(0.18%)","130
(0.51%)","14
(0.05%)","32
(0.12%)","23
(0.09%)","209
(0.83%)","2036
(8.1%)","43
(0.17%)","10
(0.03%)","13803
(54.97%)"
#3 მაჟ. ოლქი,"629
(2.54%)","15
(0.06%)","931
(3.76%)","32
(0.12%)","4901
(19.83%)","934
(3.78%)","49
(0.19%)","1469
(5.94%)","561
(2.27%)","12
(0.04%)","22
(0.08%)","106
(0.42%)","7
(0.02%)","14
(0.05%)","17
(0.06%)","53
(0.21%)","106
(0.42%)","28
(0.11%)","14
(0.05%)","29
(0.11%)","185
(0.74%)","1916
(7.75%)","35
(0.14%)","13
(0.05%)","12628
(51.11%)"
#4 მაჟ. ოლქი,"515
(2.23%)","10
(0.04%)","792
(3.43%)","213
(0.92%)","4616
(20.04%)","580
(2.51%)","31
(0.13%)","1376
(5.97%)","708
(3.07%)","11
(0.04%)","19
(0.08%)","56
(0.24%)","5
(0.02%)","9
(0.03%)","29
(0.12%)","57
(0.24%)","204
(0.88%)","11
(0.04%)","11
(0.04%)","31
(0.13%)","189
(0.82%)","1579
(6.85%)","19
(0.08%)","7
(0.03%)","11949
(51.89%)"
#5 მაჟ. ოლქი,"561
(2.24%)","6
(0.02%)","860
(3.44%)","59
(0.23%)","4763
(19.06%)","1057
(4.23%)","37
(0.14%)","1255
(5.02%)","445
(1.78%)","6
(0.02%)","27
(0.1%)","118
(0.47%)","7
(0.02%)","8
(0.03%)","21
(0.08%)","57
(0.22%)","133
(0.53%)","29
(0.11%)","25
(0.1%)","24
(0.09%)","259
(1.03%)","2036
(8.15%)","39
(0.15%)","4
(0.01%)","13144
(52.61%)"
#6 მაჟ. ოლქი,"595
(2.33%)","16
(0.06%)","880
(3.45%)","51
(0.2%)","4650
(18.27%)","1099
(4.31%)","51
(0.2%)","1329
(5.22%)","504
(1.98%)","3
(0.01%)","27
(0.1%)","97
(0.38%)","4
(0.01%)","10
(0.03%)","36
(0.14%)","165
(0.64%)","126
(0.49%)","11
(0.04%)","26
(0.1%)","9
(0.03%)","200
(0.78%)","1906
(7.49%)","21
(0.08%)","7
(0.02%)","13618
(53.52%)"
#7 მაჟ. ოლქი,"697
(3.09%)","14
(0.06%)","717
(3.18%)","21
(0.09%)","6272
(27.86%)","316
(1.4%)","40
(0.17%)","1236
(5.49%)","725
(3.22%)","8
(0.03%)","19
(0.08%)","78
(0.34%)","14
(0.06%)","6
(0.02%)","22
(0.09%)","58
(0.25%)","59
(0.26%)","4
(0.01%)","98
(0.43%)","7
(0.03%)","70
(0.31%)","849
(3.77%)","19
(0.08%)","19
(0.08%)","11138
(49.48%)"
#8 მაჟ. ოლქი,"704
(3.56%)","9
(0.04%)","840
(4.25%)","32
(0.16%)","5079
(25.74%)","344
(1.74%)","26
(0.13%)","1447
(7.33%)","781
(3.95%)","10
(0.05%)","26
(0.13%)","53
(0.26%)","14
(0.07%)","18
(0.09%)","17
(0.08%)","30
(0.15%)","79
(0.4%)","16
(0.08%)","15
(0.07%)","21
(0.1%)","101
(0.51%)","1468
(7.44%)","28
(0.14%)","8
(0.04%)","8563
(43.4%)"
#9 მაჟ. ოლქი,"402
(2.19%)","13
(0.07%)","978
(5.33%)","16
(0.08%)","4834
(26.38%)","286
(1.56%)","34
(0.18%)","972
(5.3%)","676
(3.69%)","4
(0.02%)","25
(0.13%)","49
(0.26%)","7
(0.03%)","7
(0.03%)","28
(0.15%)","36
(0.19%)","96
(0.52%)","14
(0.07%)","276
(1.5%)","11
(0.06%)","78
(0.42%)","926
(5.05%)","16
(0.08%)","8
(0.04%)","8526
(46.54%)"
