ოლქი - სუბიექტი,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,23,24,25,26,27,28,30,31,32,33,34,36,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,60
საზღვარგარეთი,25 (0.21%),386 (3.19%),26 (0.22%),21 (0.17%),5507 (45.57%),9 (0.07%),19 (0.16%),68 (0.56%),4 (0.03%),132 (1.09%),3 (0.02%),9 (0.07%),10 (0.08%),39 (0.32%),1 (0.01%),31 (0.26%),1 (0.01%),40 (0.33%),2 (0.02%),36 (0.3%),16 (0.13%),272 (2.25%),18 (0.15%),24 (0.2%),236 (1.95%),28 (0.23%),7 (0.06%),12 (0.1%),2 (0.02%),2 (0.02%),6 (0.05%),975 (8.07%),3508 (29.03%),6 (0.05%),7 (0.06%),115 (0.95%),6 (0.05%),16 (0.13%),7 (0.06%),4 (0.03%),5 (0.04%),6 (0.05%),6 (0.05%),1 (0.01%),4 (0.03%),2 (0.02%),48 (0.4%),363 (3.0%),3 (0.02%),11 (0.09%)
1. მაჟ.ოლქი,70 (0.14%),2265 (4.4%),525 (1.02%),365 (0.71%),11689 (22.72%),57 (0.11%),51 (0.1%),1652 (3.21%),60 (0.12%),409 (0.79%),11 (0.02%),15 (0.03%),138 (0.27%),37 (0.07%),10 (0.02%),101 (0.2%),37 (0.07%),737 (1.43%),22 (0.04%),197 (0.38%),60 (0.12%),1335 (2.59%),108 (0.21%),44 (0.09%),1441 (2.8%),36 (0.07%),36 (0.07%),53 (0.1%),69 (0.13%),6 (0.01%),51 (0.1%),3296 (6.41%),22195 (43.14%),26 (0.05%),53 (0.1%),373 (0.72%),104 (0.2%),108 (0.21%),88 (0.17%),12 (0.02%),55 (0.11%),80 (0.16%),133 (0.26%),39 (0.08%),21 (0.04%),22 (0.04%),263 (0.51%),2838 (5.52%),4 (0.01%),57 (0.11%)
2. მაჟ.ოლქი,81 (0.13%),2824 (4.59%),617 (1.0%),385 (0.63%),11488 (18.69%),56 (0.09%),69 (0.11%),1916 (3.12%),148 (0.24%),371 (0.6%),9 (0.01%),20 (0.03%),172 (0.28%),19 (0.03%),11 (0.02%),128 (0.21%),78 (0.13%),870 (1.42%),28 (0.05%),369 (0.6%),70 (0.11%),2145 (3.49%),137 (0.22%),113 (0.18%),1612 (2.62%),42 (0.07%),39 (0.06%),81 (0.13%),78 (0.13%),15 (0.02%),88 (0.14%),5564 (9.05%),25288 (41.14%),33 (0.05%),54 (0.09%),380 (0.62%),127 (0.21%),305 (0.5%),89 (0.14%),51 (0.08%),98 (0.16%),46 (0.07%),147 (0.24%),9 (0.01%),56 (0.09%),31 (0.05%),168 (0.27%),4835 (7.87%),10 (0.02%),102 (0.17%)
3. მაჟ.ოლქი,80 (0.11%),2688 (3.55%),738 (0.98%),425 (0.56%),14889 (19.68%),38 (0.05%),85 (0.11%),2435 (3.22%),124 (0.16%),543 (0.72%),35 (0.05%),24 (0.03%),164 (0.22%),37 (0.05%),11 (0.01%),357 (0.47%),63 (0.08%),1008 (1.33%),58 (0.08%),371 (0.49%),145 (0.19%),3582 (4.74%),253 (0.33%),136 (0.18%),2185 (2.89%),42 (0.06%),45 (0.06%),73 (0.1%),90 (0.12%),27 (0.04%),81 (0.11%),6152 (8.13%),31094 (41.11%),42 (0.06%),62 (0.08%),554 (0.73%),141 (0.19%),355 (0.47%),103 (0.14%),14 (0.02%),134 (0.18%),70 (0.09%),147 (0.19%),9 (0.01%),49 (0.06%),7 (0.01%),227 (0.3%),5539 (7.32%),21 (0.03%),87 (0.12%)
4. მაჟ.ოლქი,62 (0.11%),1473 (2.65%),667 (1.2%),929 (1.67%),13228 (23.78%),53 (0.1%),36 (0.06%),1884 (3.39%),36 (0.06%),554 (1.0%),31 (0.06%),18 (0.03%),91 (0.16%),22 (0.04%),8 (0.01%),82 (0.15%),35 (0.06%),235 (0.42%),51 (0.09%),172 (0.31%),31 (0.06%),1303 (2.34%),237 (0.43%),48 (0.09%),4612 (8.29%),53 (0.1%),49 (0.09%),60 (0.11%),23 (0.04%),10 (0.02%),136 (0.24%),2775 (4.99%),23603 (42.44%),26 (0.05%),41 (0.07%),298 (0.54%),96 (0.17%),91 (0.16%),90 (0.16%),20 (0.04%),24 (0.04%),30 (0.05%),216 (0.39%),26 (0.05%),25 (0.04%),5 (0.01%),176 (0.32%),1781 (3.2%),16 (0.03%),50 (0.09%)
5. მაჟ.ოლქი,51 (0.07%),1878 (2.61%),861 (1.2%),386 (0.54%),20156 (27.99%),80 (0.11%),65 (0.09%),2756 (3.83%),57 (0.08%),789 (1.1%),29 (0.04%),22 (0.03%),143 (0.2%),91 (0.13%),17 (0.02%),130 (0.18%),25 (0.03%),308 (0.43%),51 (0.07%),262 (0.36%),49 (0.07%),1666 (2.31%),195 (0.27%),78 (0.11%),3532 (4.9%),56 (0.08%),101 (0.14%),127 (0.18%),78 (0.11%),13 (0.02%),148 (0.21%),3288 (4.57%),30353 (42.14%),53 (0.07%),72 (0.1%),466 (0.65%),263 (0.37%),182 (0.25%),90 (0.12%),21 (0.03%),41 (0.06%),49 (0.07%),217 (0.3%),20 (0.03%),14 (0.02%),11 (0.02%),354 (0.49%),2260 (3.14%),28 (0.04%),39 (0.05%)
6. მაჟ.ოლქი,64 (0.09%),2270 (3.19%),845 (1.19%),465 (0.65%),14567 (20.46%),76 (0.11%),118 (0.17%),2256 (3.17%),103 (0.14%),619 (0.87%),31 (0.04%),29 (0.04%),148 (0.21%),50 (0.07%),16 (0.02%),145 (0.2%),53 (0.07%),592 (0.83%),56 (0.08%),294 (0.41%),65 (0.09%),2188 (3.07%),180 (0.25%),94 (0.13%),2409 (3.38%),63 (0.09%),45 (0.06%),145 (0.2%),109 (0.15%),29 (0.04%),73 (0.1%),5708 (8.02%),31698 (44.52%),53 (0.07%),56 (0.08%),387 (0.54%),115 (0.16%),200 (0.28%),90 (0.13%),16 (0.02%),103 (0.14%),56 (0.08%),222 (0.31%),11 (0.02%),23 (0.03%),12 (0.02%),193 (0.27%),3953 (5.55%),16 (0.02%),89 (0.13%)
7. მაჟ.ოლქი,60 (0.09%),1749 (2.55%),675 (0.99%),428 (0.62%),15487 (22.61%),59 (0.09%),89 (0.13%),3284 (4.79%),80 (0.12%),1943 (2.84%),59 (0.09%),25 (0.04%),162 (0.24%),68 (0.1%),14 (0.02%),131 (0.19%),28 (0.04%),339 (0.49%),46 (0.07%),370 (0.54%),109 (0.16%),2088 (3.05%),135 (0.2%),85 (0.12%),2719 (3.97%),50 (0.07%),64 (0.09%),76 (0.11%),60 (0.09%),23 (0.03%),148 (0.22%),4350 (6.35%),28584 (41.73%),74 (0.11%),83 (0.12%),508 (0.74%),120 (0.18%),120 (0.18%),104 (0.15%),30 (0.04%),79 (0.12%),40 (0.06%),246 (0.36%),9 (0.01%),31 (0.05%),19 (0.03%),237 (0.35%),3122 (4.56%),15 (0.02%),66 (0.1%)
8. მაჟ.ოლქი,97 (0.13%),2293 (3.11%),857 (1.16%),352 (0.48%),21206 (28.8%),98 (0.13%),184 (0.25%),2881 (3.91%),63 (0.09%),924 (1.25%),35 (0.05%),36 (0.05%),174 (0.24%),47 (0.06%),15 (0.02%),195 (0.26%),38 (0.05%),296 (0.4%),56 (0.08%),346 (0.47%),88 (0.12%),2106 (2.86%),529 (0.72%),133 (0.18%),3155 (4.28%),53 (0.07%),79 (0.11%),81 (0.11%),56 (0.08%),19 (0.03%),105 (0.14%),3965 (5.38%),28778 (39.08%),41 (0.06%),86 (0.12%),579 (0.79%),80 (0.11%),123 (0.17%),121 (0.16%),32 (0.04%),70 (0.1%),47 (0.06%),252 (0.34%),9 (0.01%),28 (0.04%),16 (0.02%),188 (0.26%),2545 (3.46%),13 (0.02%),65 (0.09%)
9. მაჟ.ოლქი,43 (0.05%),4354 (5.06%),517 (0.6%),307 (0.36%),23676 (27.51%),89 (0.1%),76 (0.09%),3192 (3.71%),36 (0.04%),856 (0.99%),34 (0.04%),44 (0.05%),49 (0.06%),61 (0.07%),12 (0.01%),63 (0.07%),12 (0.01%),125 (0.15%),38 (0.04%),223 (0.26%),28 (0.03%),495 (0.58%),109 (0.13%),34 (0.04%),1907 (2.22%),64 (0.07%),32 (0.04%),45 (0.05%),21 (0.02%),10 (0.01%),148 (0.17%),927 (1.08%),45353 (52.69%),82 (0.1%),42 (0.05%),170 (0.2%),52 (0.06%),63 (0.07%),87 (0.1%),20 (0.02%),14 (0.02%),24 (0.03%),74 (0.09%),4 (0.0%),10 (0.01%),5 (0.01%),145 (0.17%),2258 (2.62%),12 (0.01%),25 (0.03%)
